Musashi	arc	c95711-g1   ENSLPGG00000008927
Piwi	arc	c104940-g2  ENSLPGG00000010709
Noggin	arc	c92270-g1   ENSLPGG00000029352
Eef1a1	arc	c41805-g1   ENSLPGG00000010195
Villin	cho_apo	c100975-g1  ENSLPGG00000014386
Pcna	chb	c89064-g1   ENSLPGG00000009033
Frizzled_receptorA3	incPin1	c100637-g2  ENSLPGG00000007262
