	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018266702608341158	0.0013739984768488928	0.0012343499404991211	0.005474689255029754	0.05946051496882947	0.3796593548798599	0.0038106913066521726	0.0004820063682041198	0.0011185618669533144	0.012919967409957383	0.008342279033745004	0.0351853289231606	0.2985910958379468	0.0011898074415900438	0.030313792704124966	0.004718996121273174	0.0	0.0	0.028653339858008487	0.0006388393875664849	0.00010234196790145499	0.00010268109959597746	0.0005654937633045864	0.024209279068145455	0.0013050618818608404	0.03485585544472654	0.029292588690146275	0.0005914133734703311	0.0	0.0	0.0	0.00376873997479048	0.0	0.009272134053968834	0.0061271158485771285	0.0034223137445918103	0.011868178489306117	0.0027829006952675667	0.015428881242637757
Aque_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25256615281583283	0.0	0.00010338765919647775	0.22307362914974593	0.28109757608464325	0.6692378962839454	0.0	0.0	0.5040912788635955	0.14375727532994384	0.3077033679080222	0.007970713844496508	0.8090502008829432	0.0	0.00951594653679146	0.0	0.0	0.0	0.024294860509527498	0.13143781935431348	0.01586134405513253	0.001434738198171912	0.04642418425811619	0.5161426049714277	0.0	0.0	0.004531327828826074	0.0	0.0	0.0	0.0	0.012538102731787664	0.0	0.44897775041511895	0.00092576789124725	0.3019839188252833	0.0053352604683686265	0.12284104810079428	0.5415852251427122
Aque_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1802527759185044e-05	0.04468992991099156	0.3355992901781418	0.0017449133509702247	0.003323469521499277	0.005472312338096221	0.01592541860791152	0.01026145992436531	0.0	0.0012685821276973873	0.02334784982875699	0.011276917518287822	0.0	0.0004942164110034928	0.008820041543731897	0.02739381527467641	0.17820473400973705	0.046179170706720105	0.0	0.0	0.0	0.0002048549475966291	0.0	0.0	0.0	0.0	0.004034327283839186	0.006731894817979742	0.0007021514849945537	0.11480749576873321	0.0	0.0	0.004926077630578429	0.0	0.002287351340142939	0.0	0.042988652946191606	0.0003133843009898123	0.0018793357990493948
Aque_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019665732981094374	0.0	0.00017454331667293227	0.04640970071460336	0.021154899074711367	0.005242540908190532	0.0	0.0	0.0077853280218678255	0.002711508654060822	0.007072107711192832	0.00154780948685485	0.02672517919367424	0.5423945491151596	0.012844224746883107	0.002689718568002559	0.0	0.0	0.006552413150299602	0.006738816423578489	0.0025057913614088827	0.03987885768506149	0.0016015497794827343	0.008335257556350128	0.0016625439656669059	0.3397225874080886	0.019133380995985484	0.0	0.00011355741790469503	0.0	0.0	0.00011869028680861317	0.0	0.010042257418371583	0.0010375970848512917	0.011125626240759755	0.0013473130668733063	0.00566773866370294	0.02261626177683532
Aque_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.064168172051049e-05	0.0	0.0036294256376810537	0.0	0.00047184335110735413	0.0002511304780427099	0.0	0.00019606123385650892	0.0007465539349009928	0.0032450165265027983	0.0	0.7760541244960126	0.0017878093699119177	0.0003764385898136003	0.010132974257322689	0.12970913574295245	0.0	0.0	0.0	0.0017103729583754774	0.0	0.0	0.0008444175548195458	0.003194587017496539	0.0018689626456572799	0.001282005022710305	0.00121456953443133	0.00045259251239019254	0.0	0.0	0.0	0.0	0.00030779793785231025	7.59399316346912e-05	0.0	0.0005752189162764986	0.00010444316632568648
Aque_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3655912455527596	0.2369106155723985	0.0	0.0	0.036236132074442116	0.05710385093169782	0.22042818677760265	0.0	0.049166931629091984	0.010239498282874977	0.07856776354892274	0.0	0.0	0.04754385578417973	0.07370152462562253	0.0	0.0018046266248368226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016852922387641709	0.0	0.024746775775467512	0.0	0.0043607037350789895	0.0	0.0	0.0	0.2830608292001793	0.0	0.497594199278313	0.0006418350870695232	0.0
Aque_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005423187255222688	0.006498380657171206	0.09424098983429374	0.024398906517544842	0.004641704672208107	0.004950867940631136	0.007239997229058198	0.00152527255854732	0.0	0.008782867736133048	0.014701595306820863	0.02743303288481675	0.0	0.0	0.010336526581337324	0.004109768586756966	0.009233160748827188	0.0	0.02521138830700928	0.0	5.249118680734375e-05	0.0001482818446735936	0.004487700647896013	0.0016369020947705156	0.15809326833694198	0.0	0.00017094306188467702	0.013685364342202955	0.0039677370898790155	0.00015562376931084845	0.0012873124927212265	0.0	0.001162262287108333	0.002033893164897847	0.008275375689937697	0.0026731514712505485	0.006789024414256729	0.027889227571640928	0.004032582059193266
Aque_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05613924958100584	0.10749843064150695	0.0	0.03020985827808866	0.0	0.0034633696021542184	0.020579822654212317	0.0	0.0005418332690084511	0.0	0.009929155746144374	0.0	0.00417545323897618	0.003012070525532525	0.03797856613620168	0.07580098149410322	0.07377595158173351	0.0	0.0	0.0	0.000852810883604525	0.0	0.0	0.0008123346729385806	0.0	0.0007324647947147136	0.0	7.879149292205894e-05	0.007858251450467929	0.0	0.0	0.0007103642603624647	0.0	0.006764586581297502	0.0	0.000715023142965315	0.0	0.0
Aque_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014192496567012377	0.0	0.0	0.01050895663467983	9.707793268499749e-05	0.0020752773265825066	0.0038880151006533393	0.0001930579746565647	0.00031642109526858853	0.002112674907276899	0.0028751171522754092	0.002577913349781858	8.960677158899134e-05	0.017293406123753442	0.003976851288813482	0.006170533962334334	0.006632790960669395	0.03874300926068576	0.00023145031075380655	0.00032020809050862565	0.0	0.011132725043808609	8.948946520770417e-05	0.0010104883213285165	0.0008372119570059823	0.0	0.0005304861487550172	0.02279433291726892	0.0002513816748493401	0.0036455317077635453	7.510996455320805e-05	0.0	0.0	0.0	0.003792014608746367	0.00034031968063131813	0.0012713160046097013	0.006252410518212082	0.0
Aque_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018221901781765245	0.0004453787114957723	0.08346323755986489	8.89492580034578e-05	0.0036228026567199393	0.024593338422279433	0.0	0.0061893181112889755	0.0	0.0007700590682175174	0.02817983172653566	0.005199112857246746	0.0002438537589556337	0.00036229608661000916	0.0638249782794095	0.001778488604336794	0.0014550879374426063	0.0	0.005892984234232573	8.832606907661913e-05	0.0003045581036776743	0.0	0.19558618334766417	0.0003922746541190782	0.02159361827889409	0.0	0.0	0.00031948889580872314	0.03374250570761356	0.0003512935381258607	0.17000520568363492	0.0	0.0	0.0	0.000491437847135329	0.007615699745000376	0.017150711583926313	0.00038054354602071893	0.004088915095366273
